ID,Owner,Workstream,Phase,Task,Done when,Blocked by,Status,Notes
D03,David,2. App connection,Week 1,Create HabibiaApi.kt — BASE_URL get/post/put/delete JSON Bearer token,One HTTP class for the whole app,Manifest,Not started,
D04,David,2. App connection,Week 1,All HabibiaApi calls on a background Thread; UI via runOnUiThread,App does not crash with NetworkOnMainThread,HabibiaApi,Not started,
D05,David,2. App connection,Week 1,HabibiaSession: add authToken and loggedInMemberId; clear both on logout,Token stored after login,HabibiaApi,Not started,
D06,David,2. App connection,Week 1,LoginFragment: POST /auth/login save token copy member into HabibiaDummyData.member,Real password works,Humera login + HabibiaApi,Not started,
D07,David,2. App connection,Week 1,If role Admin openAdminApp(); if Member openMemberApp(); do not use email.contains(admin),admin@ email opens admin app,Login POST,Not started,
D08,David,2. App connection,Week 1,Show login error when API returns 401,Wrong password stays on login screen,Login POST,Not started,
D09,David,2. App connection,Week 1,RegisterFragment: POST /auth/register then EmailVerificationFragment,New user created in Firebase,Humera register,Not started,
D10,David,2. App connection,Week 1,ProfileFragment: GET /me and GET /me/profile into existing TextViews,Aaliyah profile from Firestore,Humera /me,Not started,
D11,David,2. App connection,Week 1,EditProfileFragment save: PUT /me/profile then open profile tab,Emergency contact updates in Firestore,Humera PUT profile,Not started,
D12,David,2. App connection,Week 1,Logout: clear token optional POST /auth/logout go to LoginFragment,Cannot call protected routes after logout,Login,Not started,
D13,David,2. App connection,Week 1,Home greeting uses logged-in firstName,Hello Aaliyah after real login,Login,Not started,
D14,David,2. App connection,Week 1,Remove Demo Member and Demo Admin buttons after real login works,Only email/password login remains,Login,Not started,
D15,David,2. App connection,Week 1,Nobody else creates a second HTTP client,One networking file,HabibiaApi,Not started,
D16,David,2. App connection,Week 4,Change BASE_URL to Imraan's hosted HTTPS URL,App works without this PC running uvicorn,Imraan hosting,Not started,
D17,David,4. Calendar & admin,Week 2,ClubCalendarFragment: GET /events and GET /competitions keep chips and search,Saturday Practice E001 shows,Humera GET events + HabibiaApi,Not started,
D18,David,4. Calendar & admin,Week 2,EventDetailsFragment from API list using selectedEventId,Details match Firestore,Calendar GET,Not started,
D19,David,4. Calendar & admin,Week 2,CompetitionFragment and CompetitionDetailsFragment from GET /competitions,Western Cape C001 shows,GET competitions,Not started,
D20,David,4. Calendar & admin,Week 2,AnnouncementFragment: GET /announcements,New Indoor League shows,Humera announcements,Not started,
D21,David,4. Calendar & admin,Week 2,NotificationFragment: GET /notifications; PUT /notifications/{id}/read when opened,N001 listed; isRead true after open,Humera notifications,Not started,
D22,David,4. Calendar & admin,Week 2,BeginnerResourcesFragment + ResourceDetailsFragment: GET /resources,Safety resource shows,Humera resources,Not started,
D23,David,4. Calendar & admin,Week 2,Home unread count from GET /notifications where isRead is false,Unread dot matches Firestore,Notifications GET,Not started,
D24,David,4. Calendar & admin,Week 3,AdminDashboardFragment counts from GET lists not dummy sizes,Counts match console,Humera admin GET,Not started,
D25,David,4. Calendar & admin,Week 3,AdminStatisticsFragment same GET lists for the six stats,Stats page uses live data,Dashboard GETs,Not started,
D26,David,4. Calendar & admin,Week 3,ManageEvents: GET list DELETE /events/{id} AddEdit POST or PUT,Admin add event appears in Firestore and member calendar,Humera event write routes,Not started,
D27,David,4. Calendar & admin,Week 3,ManageCompetitions: GET POST PUT DELETE /competitions,New competition appears for members,Humera competition writes,Not started,
D28,David,4. Calendar & admin,Week 3,ManageAnnouncements: GET POST PUT DELETE /announcements,New announcement on member screen,Humera announcement writes,Not started,
D29,David,4. Calendar & admin,Week 3,ManageResources: GET POST PUT DELETE /resources,New resource on member screen,Humera resource writes,Not started,
D30,David,4. Calendar & admin,Week 3,ManageMembers: GET /admin/members; delete only if Humera added DELETE,Member list is live,Humera admin members,Not started,
D31,David,4. Calendar & admin,Week 3,Do not edit HabibiaScoreFragments.kt,No merge fights on scores,—,Not started,
S01,Siddiq,Testing,Week 1,Install Postman or Thunder Client; save collection base URL http://127.0.0.1:8000,Collection file the group can import,Humera uvicorn,Not started,
S02,Siddiq,Testing,Week 1,Test POST /auth/login member success — screenshot of 200 + role Member,Screenshot in testing folder/doc,Humera login,Not started,
S03,Siddiq,Testing,Week 1,Test POST /auth/login admin success — role Admin,Screenshot,Humera login,Not started,
S04,Siddiq,Testing,Week 1,Test wrong password returns 401,Screenshot of 401,Humera login,Not started,
S05,Siddiq,Testing,Week 1,Test missing Authorization header on GET /me returns 401,Screenshot,Humera /me,Not started,
S06,Siddiq,Testing,Week 1,Test POST /auth/register then user exists in Authentication + members,Screenshot of Firestore members,Humera register,Not started,
S07,Siddiq,Testing,Week 2,Test member token on POST /events returns 403,Screenshot,Humera event POST,Not started,
S08,Siddiq,Testing,Week 2,Test GET /events and GET /competitions with member token — 200 and seeded titles,Screenshot of E001 C001,Humera GET calendar,Not started,
S09,Siddiq,Testing,Week 2,Test POST /score-sessions valid Practice — 201 and totals in Firestore,Screenshot of scoreSessions doc,Humera POST scores,Not started,
S10,Siddiq,Testing,Week 2,Test POST league with wrong arrow count returns 400,Screenshot,Humera league validation,Not started,
S11,Siddiq,Testing,Week 2,Test GET another member's score-sessions/{id} as member returns 403,Screenshot,Humera GET by id,Not started,
S12,Siddiq,Testing,Week 3,Test GET /notifications only returns that user's notifications,Member does not see someone else's notifications,Humera notifications,Not started,
S13,Siddiq,Testing,Week 3,Test PUT /notifications/{id}/read then isRead true in Firestore,Screenshot,Humera read route,Not started,
S14,Siddiq,Testing,Week 3,Emulator: member login opens member app; admin login opens admin app,Screen recording or 2 screenshots,David login,Not started,
S15,Siddiq,Testing,Week 3,Emulator: register new user confirm they appear in Firestore members,Screenshot,David register,Not started,
S16,Siddiq,Testing,Week 3,Emulator: complete a Practice confirm history and Firestore doc,Screenshots of app + console,Humera scoring save,Not started,
S17,Siddiq,Testing,Week 3,Emulator: admin adds an event member calendar shows it after refresh,Screenshots,David manage events,Not started,
S18,Siddiq,Testing,Week 4,Write TESTING.md: every endpoint method expected status pass/fail screenshot names,File in repo the marker can open,All API tests,Not started,
S19,Siddiq,Testing,Week 4,Walk screens for loading/empty/error — log bugs do not rewrite scoring or HabibiaApi,Bug list given to Humera/David,David + Humera screens,Not started,
S20,Siddiq,Testing,Week 4,Retest against Imraan's hosted HTTPS URL,Same tests pass on live API,Imraan hosting,Not started,
S21,Siddiq,Testing,All weeks,Do not add a second HTTP client or edit backend/scoring unless a bug is assigned,No extra networking stack,—,Not started,
I01,Imraan,Hosting & docs,Week 1,Firebase: add Humera David Siddiq Gmail as Editor,All four can open the project,—,Not started,
I02,Imraan,Hosting & docs,Week 1,Confirm 8 collections exist (members memberProfiles events competitions scoreSessions announcements notifications resources),Screenshot of Firestore Data tab,—,Not started,
I03,Imraan,Hosting & docs,Week 1,Publish firebase/firestore.rules,Rules show published timestamp,—,Not started,
I04,Imraan,Hosting & docs,Week 1,Create 3 indexes from firestore.indexes.json wait until Enabled,Indexes tab all Enabled,—,Not started,
I05,Imraan,Hosting & docs,Week 1,Confirm google-services.json and serviceAccount.json are NOT in git,git status does not list those files,—,Not started,
I06,Imraan,Hosting & docs,Week 3,Deploy FastAPI to Render or Cloud Run (HTTPS),Public URL returns /docs,Humera API runs locally first,Not started,
I07,Imraan,Hosting & docs,Week 3,Send David the live BASE_URL; confirm CORS still works,David can switch HabibiaApi BASE_URL,Deploy,Not started,
I08,Imraan,Hosting & docs,Week 3,Keep SCHEMA.md and API.md as the contract — do not add extra collections,Docs match live DB,—,Not started,
I09,Imraan,Hosting & docs,Week 4,Architecture page: diagram Kotlin app -> Python FastAPI -> Cloud Firestore,One image/page for the marker,—,Not started,
I10,Imraan,Hosting & docs,Week 4,Write what each of the 8 collections stores (from SCHEMA.md),Data dictionary for WIL,—,Not started,
I11,Imraan,Hosting & docs,Week 4,Write team ownership table (Humera David Siddiq Imraan),Contribution table,—,Not started,
I12,Imraan,Hosting & docs,Week 4,Write score data flow: app sends arrows Python calculates totals Firestore stores scoreSessions,Half page for rubric,Humera scoring API,Not started,
I13,Imraan,Hosting & docs,Week 4,Update README: how to run backend emulator URL test emails (not passwords in git),Clone-and-run works,Humera + David,Not started,
I14,Imraan,Hosting & docs,Week 4,Record 3-5 min demo: member login record Practice see history admin add event calendar updates,Video or Drive link,Humera scores + David calendar,Not started,
I15,Imraan,Hosting & docs,Week 4,Package submission: hosted URL testing doc demo link architecture page,One folder/doc the group submits,Siddiq TESTING.md,Not started,
I16,Imraan,Hosting & docs,All weeks,Do not write Python routes or Android networking,No accidental file overlap,—,Not started,
